bruises,odor,gill-spacing,gill-size,gill-color,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,population,habitat,poisonous
t,p,c,n,k,s,s,w,w,p,k,s,u,p
t,a,c,b,k,s,s,w,w,p,n,n,g,e
t,l,c,b,n,s,s,w,w,p,n,n,m,e
t,p,c,n,n,s,s,w,w,p,k,s,u,p
f,n,w,b,k,s,s,w,w,e,n,a,g,e
t,a,c,b,n,s,s,w,w,p,k,n,g,e
t,a,c,b,g,s,s,w,w,p,k,n,m,e
t,l,c,b,n,s,s,w,w,p,n,s,m,e
t,p,c,n,p,s,s,w,w,p,k,v,g,p
t,a,c,b,g,s,s,w,w,p,k,s,m,e
t,l,c,b,g,s,s,w,w,p,n,n,g,e
t,a,c,b,n,s,s,w,w,p,k,s,m,e
t,a,c,b,w,s,s,w,w,p,n,s,g,e
t,p,c,n,k,s,s,w,w,p,n,v,u,p
f,n,w,b,n,s,f,w,w,e,k,a,g,e
f,n,c,n,k,s,s,w,w,p,n,y,u,e
f,n,w,b,k,s,s,w,w,e,n,a,g,e
t,p,c,n,n,s,s,w,w,p,k,s,g,p
t,p,c,n,n,s,s,w,w,p,n,s,u,p
t,p,c,n,k,s,s,w,w,p,n,s,u,p
t,a,c,b,k,s,s,w,w,p,n,s,m,e
t,p,c,n,n,s,s,w,w,p,n,v,g,p
t,l,c,b,k,s,s,w,w,p,n,s,m,e
t,a,c,b,w,s,s,w,w,p,n,n,m,e
t,l,c,b,g,s,s,w,w,p,k,s,m,e
t,p,c,n,n,s,s,w,w,p,n,v,g,p
t,a,c,b,n,s,s,w,w,p,n,n,m,e
t,l,c,b,w,s,s,w,w,p,n,n,m,e
f,n,c,n,k,s,s,w,w,p,k,y,u,e
t,a,w,n,n,s,s,w,w,p,n,v,d,e
t,l,c,b,g,s,s,w,w,p,n,n,m,e
t,p,c,n,k,s,s,w,w,p,n,s,u,p
t,l,c,b,n,s,s,w,w,p,n,n,m,e
t,l,c,b,p,s,y,w,w,p,n,y,p,e
t,l,c,b,n,s,s,w,w,p,n,s,m,e
t,l,w,n,w,s,s,w,w,p,n,v,d,e
f,n,c,n,k,s,s,w,w,p,k,v,u,e
t,p,c,n,w,s,s,w,w,p,n,s,u,p
t,a,w,n,p,s,s,w,w,p,n,v,d,e
t,l,c,b,k,s,s,w,w,p,k,s,m,e
t,a,c,b,n,s,s,w,w,p,n,s,g,e
t,l,c,b,n,s,y,w,w,p,k,y,p,e
f,n,c,n,g,s,s,w,w,p,k,y,u,e
t,p,c,n,p,s,s,w,w,p,n,v,g,p
t,a,c,b,w,s,s,w,w,p,k,n,m,e
t,a,c,b,n,s,s,w,w,p,n,n,g,e
t,l,c,b,k,s,s,w,w,p,k,s,m,e
